t,x,y,z,diff_norm
9.94,-6.210446668104661,-5.053554526753946,25.986703309923985,3.408241390016734e-06
9.9425,-6.1821185837798,-5.072815881713832,25.8922027874439,3.3870431089703546e-06
9.945,-6.154980912072256,-5.093337537838697,25.798285748537378,3.3658074887571607e-06
9.9475,-6.12903526407799,-5.115100830617036,25.704979997862708,3.344553626901766e-06
9.950000000000001,-6.104282788628645,-5.138087676043871,25.6123128748353,3.3233010686963293e-06
9.9525,-6.080724172291592,-5.1622805706207,25.520311253627884,3.3020697985490163e-06
9.955,-6.05835963936983,-5.187662591355594,25.42900154317012,3.2808802424810265e-06
9.9575,-6.037188951902051,-5.214217395763132,25.33840968714886,3.25975327155962e-06
9.96,-6.017211409662612,-5.2419292218644395,25.248561164008017,3.2387102003628903e-06
9.9625,-5.99842585016159,-5.270782888187105,25.159480986948825,3.217772815021389e-06
9.965,-5.980830648644695,-5.300763793765303,25.07119370392945,3.1969633665676734e-06
9.9675,-5.964423718093333,-5.331857918139713,24.983723397665237,3.176304600756559e-06
9.97,-5.949202605488922,-5.364051779872102,24.897093844802587,3.155814519032589e-06
9.9725,-5.935165357299195,-5.397332233430876,24.811329737507506,3.135511430915865e-06
9.975,-5.922309518853469,-5.431687007765521,24.72645482769402,3.1154226294002977e-06
9.977500000000001,-5.910632312648791,-5.467104321041387,24.642492534006436,3.0955695454781853e-06
9.98,-5.900130788425101,-5.503572785945673,24.55946622304263,3.0759743385110346e-06
9.9825,-5.89080182316518,-5.541081409687567,24.477399209353692,3.056659878085147e-06
9.985,-5.882642121094685,-5.579619593998151,24.39631475544416,3.0376497455023535e-06
9.9875,-5.875648213682136,-5.619177135130456,24.31623607177191,3.018968241254086e-06
9.99,-5.8698164596389315,-5.659744223859344,24.23718631674838,3.0006403641374137e-06
9.9925,-5.865143044919325,-5.701311445481684,24.15918859673823,2.9826918216152345e-06
9.995000000000001,-5.861623982720438,-5.7438697798162615,24.082265966059506,2.9651490339434216e-06
9.9975,-5.859255113482267,-5.7874106012036926,24.006441426983812,2.948039113365426e-06
10.0,-5.858032104887667,-5.8319256785066,23.93173792973598,2.931389876128959e-06
10.0025,-5.857950451862362,-5.877407175109497,23.858178372494297,2.9152298489229893e-06
10.005,-5.859005476574946,-5.923847648918849,23.785785601390373,2.8995882343810387e-06
10.0075,-5.861192330180843,-5.971240046662076,23.71458241376393,2.8844936961131916e-06
10.01,-5.864506413449244,-6.019576781694622,23.644592150848258,2.869963416721762e-06
10.012500000000001,-5.868943403750359,-6.06885069833615,23.575838304206997,2.8560384670447265e-06
10.015,-5.874498800008989,-6.119055304546542,23.50834420416664,2.8427472797793686e-06
10.0175,-5.88116802944656,-6.170184095479862,23.442133358682014,2.830118920376482e-06
10.02,-5.8889464475811195,-6.222230553484221,23.377229453336454,2.8181829820569323e-06
10.0225,-5.897829338227343,-6.27518814810185,23.313656351341727,2.806969551821918e-06
10.025,-5.907811913496506,-6.329050336068944,23.25143809353819,2.796509121064442e-06
10.0275,-5.918889313796524,-6.383810561315895,23.19059889839455,2.7868325101531683e-06
10.03,-5.931056607831929,-6.439462254967135,23.131163162008015,2.7779707870110656e-06
10.0325,-5.9443087926038825,-6.49599883534122,23.073155458104225,2.7699551849063547e-06
10.035,-5.958640793410138,-6.5534137079506625,23.016600538037416,2.762817008913276e-06
10.0375,-5.9740474638451,-6.611700265502179,22.961523330790158,2.756587529386471e-06
10.040000000000001,-5.990523585799795,-6.670851887896567,22.90794894297351,2.7512979080623567e-06
10.0425,-6.008063869461835,-6.730861942228577,22.85590265882709,2.7469790765794786e-06
10.045,-6.026662953315489,-6.7917237827871695,22.805409940218897,2.7436616507062583e-06
10.0475,-6.046315440550808,-6.853430124843826,22.756496448359595,2.7413602967183306e-06
10.05,-6.0670162050394625,-6.9159725601922695,22.70918828375241,2.7401098229534953e-06
10.0525,-6.088760189246807,-6.97934359336691,22.663511900113644,2.7399389986107057e-06
10.055,-6.111542191872563,-7.043535235369727,22.619493946847662,2.7408707260082363e-06
10.057500000000001,-6.135356865591491,-7.1085389350635255,22.577161266836494,2.7429267622523e-06
10.06,-6.160198717053335,-7.174345579171804,22.536540896439902,2.746127593506126e-06
10.0625,-6.186062106882927,-7.240945492279027,22.49766006549521,2.75049233524094e-06
10.065,-6.212941249680116,-7.308328436830443,22.46054619731743,2.7560386250898983e-06
10.0675,-6.240830214019808,-7.3764836131321765,22.425226908699187,2.7627825289312926e-06
10.07,-6.269722922451884,-7.445399659351034,22.391730009910845,2.770738461210746e-06
10.0725,-6.299613151501319,-7.5150646515148,22.360083504700334,2.779919125897091e-06
10.075000000000001,-6.330494531668128,-7.585466103512085,22.330315590293242,2.7903354627739263e-06
10.0775,-6.362360547427295,-7.656590967092184,22.30245465739288,2.801996608161298e-06
10.08,-6.395204537228904,-7.728425631865362,22.276529290180125,2.814909880077618e-06
10.0825,-6.429019693498054,-7.800955925302672,22.252568266313553,2.829080772125903e-06
10.085,-6.463798869731532,-7.874166309929338,22.230600114622607,2.8444929779634897e-06
10.0875,-6.49953473582505,-7.948039585211183,22.210653420437012,2.86115653183047e-06
10.09,-6.536220189202801,-8.022558974679267,22.19275791150522,2.8790691148242237e-06
10.0925,-6.573847757669202,-8.09770654336602,22.176943202148443,2.898221412264801e-06
10.095,-6.612409584260519,-8.17346314774335,22.163238759860732,2.9186018743690634e-06
10.0975,-6.651897427244758,-8.24980843572244,22.151673905308975,2.9401967550611338e-06
10.1,-6.692302660121825,-8.326720846654059,22.142277812332853,2.9629901723861943e-06
10.102500000000001,-6.7336162716234504,-8.40417761132841,22.135079507944884,2.986964186916466e-06
10.105,-6.775828865713096,-8.48215475197496,22.130107872330413,3.0120988931960276e-06
10.1075,-6.818930661586132,-8.560627082262773,22.1273916388476,3.0383725072358067e-06
10.11,-6.862911493669719,-8.63956820730028,22.126959394027438,3.0657614990973945e-06
10.1125,-6.907760811622872,-8.71895052363541,22.128839577573732,3.094240692653848e-06
10.115,-6.953467680336329,-8.798745219255345,22.133060482363117,3.123783406265886e-06
10.1175,-7.000020779932746,-8.878922273586866,22.139650254445048,3.154361592486317e-06
10.120000000000001,-7.047408405766598,-8.959450457496189,22.148636893041814,3.1859459690884684e-06
10.1225,-7.09561837250879,-9.040297188085459,22.160047909606355,3.2184945523462043e-06
10.125,-7.144637338220407,-9.121427188401224,22.173908213240047,3.2519644383184644e-06
10.1275,-7.194452113394678,-9.202804206475783,22.1902451715763,3.286331075315759e-06
10.13,-7.245048989699732,-9.284390552884544,22.209085894212308,3.3215518685000937e-06
10.1325,-7.29641350844081,-9.366146809586125,22.230456366328617,3.357583014668064e-06
10.135,-7.34853046056048,-9.448031829922702,22.254381448689205,3.394379584370543e-06
10.137500000000001,-7.401383886638529,-9.530002738619832,22.28088487764145,3.431895609374372e-06
10.14,-7.454957076891849,-9.612014931786282,22.309989265116073,3.4700841592118042e-06
10.1425,-7.509232571174662,-9.69402207691438,22.341716098627234,3.508897441445557e-06
10.145,-7.564192158978376,-9.77597611287977,22.376085741272473,3.5482868764693696e-06
10.1475,-7.6198168794316485,-9.857827249941545,22.41311743173275,3.5882032038179163e-06
10.15,-7.676087021300245,-9.939523969742007,22.452829284272337,3.6285965651298434e-06
10.1525,-7.732982122987263,-10.02101302530701,22.49523828873898,3.669416611388162e-06
10.155,-7.790480972532977,-10.102239441045738,22.5403603105638,3.7106125976395695e-06
10.1575,-7.848561607614929,-10.183146512750811,22.588210090761322,3.7521335004807653e-06
10.16,-7.907201315547747,-10.263675807598062,22.638801245929393,3.793928108497882e-06
10.1625,-7.966376572695653,-10.343767221722803,22.692145887380597,3.83593577469916e-06
10.165000000000001,-8.026062369143528,-10.423358915329173,22.748251524266287,3.8780883031006095e-06
10.1675,-8.086232883855784,-10.502386007607445,22.807126490775,3.9203373546925944e-06
10.17,-8.146861386927526,-10.580781889309671,22.86877745878768,3.962622724589379e-06
10.1725,-8.207920114039108,-10.65847848113341,22.93320842961661,4.004884137730271e-06
10.175,-8.269380266456228,-10.735406233721834,23.000420734005527,4.047061276764106e-06
10.1775,-8.33121201102974,-10.811494127663511,23.070413032129412,4.08909384429645e-06
10.18,-8.393384480195927,-10.886669673492738,23.143181313594784,4.130921587788878e-06
10.182500000000001,-8.455865771976365,-10.960858911689368,23.218718897439565,4.1724843625465125e-06
10.185,-8.518622949977793,-11.033986412678653,23.297016432132903,4.213722197213997e-06
10.1875,-8.581622043392372,-11.105975276831572,23.378061895575502,4.254575340916844e-06
10.19,-8.644828046997516,-11.176747134464604,23.46184059509941,4.29498435463372e-06
10.1925,-8.708204921155978,-11.246222145839845,23.548335167468124,4.334890173011444e-06
10.195,-8.771715591815672,-11.314319001164796,23.63752557887636,4.3742342192700774e-06
10.1975,-8.83532199849207,-11.38095585201624,23.72938828843377,4.412954162930136e-06
10.200000000000001,-8.898984762191649,-11.446050702348625,23.823894820041694,4.450976635603815e-06
10.2025,-8.962662982438298,-11.5095179076577,23.92101485010537,4.488241552806659e-06
10.205,-9.026314774860229,-11.571271646930985,24.02071419439266,4.52469067959625e-06
10.2075,-9.089897293224903,-11.63122612966546,24.122954657040786,4.560266495626083e-06
10.21,-9.15336672943912,-11.68929559586767,24.227694030556467,4.594912222973014e-06
10.2125,-9.216678313548845,-11.745394316053538,24.33488609581561,4.6285719120586306e-06
10.215,-9.279786313739466,-11.79943659124864,24.444480622063754,4.661190488194368e-06
10.2175,-9.342644036335628,-11.85133675298801,24.5564233669158,4.692713820021497e-06
10.22,-9.40520382580131,-11.90100916331624,24.67065607635614,4.7230888068712615e-06
10.2225,-9.467417064739655,-11.948368214787328,24.787116484738338,4.752263462271384e-06
10.225,-9.529234173893236,-11.993328330464893,24.905738314785626,4.780187028371803e-06
10.227500000000001,-9.59060478504654,-12.035804608438,25.026451286926655,4.806827735493594e-06
10.23,-9.651478372309937,-12.075716173820865,25.149180530018107,4.832120755789464e-06
10.2325,-9.71180208460133,-12.112978995092773,25.27384590849733,4.855999716382472e-06
10.235,-9.771522385446131,-12.147510556112369,25.400363013259803,4.878432852023712e-06
10.2375,-9.830585403476212,-12.179231019689714,25.52864326998414,4.8993895661186165e-06
10.24,-9.888936932429754,-12.208063227586196,25.658593939131727,4.918840473111423e-06
10.2425,-9.946522431151493,-12.233932700514668,25.790118115947248,4.936757472252562e-06
10.245000000000001,-10.00328702359259,-12.256767638139365,25.92311473045843,4.953113797343074e-06
10.2475,-10.059175498810509,-12.276498919075873,26.05747854747576,4.9678840699736195e-06
10.25,-10.11413231096927,-12.293060100891218,26.193100166593045,4.981044388915703e-06
10.2525,-10.168101579339279,-12.306387420103805,26.329866022187023,4.992572412280804e-06
10.255,-10.221027088297403,-12.316419792183437,26.467658383417586,5.002447434349509e-06
10.2575,-10.272852332659077,-12.323098913085817,26.606355435718616,5.0106676724875375e-06
10.26,-10.323521939332165,-12.326373059295081,26.745833739404,5.017255616324571e-06
10.262500000000001,-10.372979222968505,-12.326192760215124,26.88596359210384,5.022135214885225e-06
10.265,-10.421167281766381,-12.322511872491095,27.02661112978452,5.025330270582029e-06
10.2675,-10.468030043249296,-12.315289636307872,27.167640243015057,5.026865273633272e-06
10.27,-10.513512264265833,-12.304490675390053,27.308912576966705,5.026765377483381e-06
10.2725,-10.557559530989721,-12.290084997001946,27.450287531413146,5.0250563805111345e-06
10.275,-10.600118258919707,-12.27204799194762,27.591622260730098,5.0217647155474695e-06
10.2775,-10.641135692879754,-12.250360434570831,27.73277167389591,5.016917413455473e-06
10.28,-10.6805599070189,-12.225008482755076,27.87358843449117,5.01054209538978e-06
10.2825,-10.71833980481133,-12.195983677923543,28.013922960698896,5.0026669378663785e-06
10.285,-10.754425119056265,-12.163282945039215,28.153623425304133,4.993320678734255e-06
10.2875,-10.788767200007168,-12.126909290134474,28.29253824299813,4.98263165524355e-06
10.290000000000001,-10.821318810239992,-12.086872713506935,28.430515745778152,4.9705546337576426e-06
10.2925,-10.85203286713483,-12.043188788656709,28.567399824214345,4.957155673387401e-06
10.295,-10.8808643752142,-11.995879479940575,28.703035613625804,4.942523336423508e-06
10.2975,-10.907770465046044,-11.944973166856895,28.837269612740208,4.926744489039318e-06
10.3,-10.932710393243765,-11.89050464404555,28.969949683694022,4.909904027793539e-06
