t,i,omega
1.058,3.6796912417126455,30.42321008418659
1.06,3.676795494991903,30.490683801000976
1.062,3.673884387175905,30.55808595012287
1.064,3.6709580081321422,30.62541623894005
1.066,3.6680164474780703,30.69267437677984
1.068,3.6650597945811114,30.759860074909028
1.07,3.662088138558649,30.826973046533944
1.072,3.659101568278037,30.894013006800428
1.074,3.656100172356593,30.960979672793812
1.076,3.653084039161599,31.02787276353897
1.078,3.650053256810302,31.09469200000025
1.08,3.647007913169917,31.161437105081543
1.082,3.643948095857623,31.22810780362624
1.084,3.640873892240563,31.294703822417222
1.086,3.637785389435847,31.36122489017692
1.088,3.634682674310551,31.427670737567244
1.09,3.6315658334817145,31.494041097189637
1.092,3.628434953316344,31.56033570358503
1.094,3.62529011993141,31.62655429323389
1.096,3.6221314200850223,31.69269659237725
1.098,3.6189589426519206,31.75876229899491
1.1,3.615772773313043,31.824751155731903
1.102,3.612572997223076,31.89066291092861
1.104,3.609359699310253,31.95649731441402
1.106,3.606132964276352,32.02225411750569
1.108,3.602892876596701,32.087933073009786
1.11,3.5996395205201743,32.15353393522106
1.112,3.596372980069192,32.21905645992287
1.114,3.593093339039722,32.284500404387146
1.116,3.5898006810012792,32.34986552737441
1.118,3.586495089296925,32.4151515891338
1.12,3.5831766470432687,32.48035835140301
1.122,3.5798454371304653,32.545485577408364
1.124,3.5765015422222177,32.61053303186474
1.126,3.573145044755775,32.67550048097564
1.128,3.569776026941934,32.74038769243313
1.13,3.566394570765038,32.80519443541789
1.132,3.5630007579829788,32.869920480599184
1.134,3.559594670127192,32.93456560013487
1.136,3.5561763885026627,32.999129567671375
1.138,3.552745994187922,33.06361215834376
1.14,3.5493035680350484,33.12801314877564
1.142,3.545849190669668,33.19233231707925
1.144,3.542382942490951,33.25656944285539
1.146,3.5389049036716185,33.320724307193466
1.148,3.535415154157936,33.384796692671486
1.15,3.531913773669716,33.44878638335602
1.152,3.52840084170032,33.51269316480227
1.154,3.524876437516654,33.57651682405398
1.156,3.5213406401591723,33.640257149643546
1.158,3.517793528441876,33.7039139315919
1.16,3.5142351809523125,33.76748696140859
1.162,3.5106656760515773,33.83097603209177
1.164,3.5070850918743126,33.89438093812815
1.166,3.5034935063287063,33.95770147549307
1.168,3.499890997096495,34.02093744165043
1.17,3.496277641632961,34.084088635552746
1.172,3.4926535171669344,34.1471548576411
1.174,3.489018700700792,34.21013590984519
1.176,3.4853732690104566,34.273031595583305
1.178,3.4817172986454,34.3358417197623
1.18,3.478050865928639,34.39856608877765
1.182,3.474374046956739,34.46120451051341
1.184,3.4706869175998105,34.52375679434222
1.186,3.466989553501513,34.58622275112532
1.188,3.4632820300790508,34.64860219321255
1.19,3.4595644225231776,34.710894934442315
1.192,3.455836805798192,34.77310079014165
