t,theta,theta_dot,KE,PE,E,E_minus_E0
5.1850000000000005,-0.08669736784790957,0.15597369731039892,0.012163897126337973,0.03684501949635139,0.049008916622689365,-2.2199987733534376e-07
5.19,-0.08590691391404526,0.16020165200265996,0.012832284652190681,0.03617663265986987,0.04900891731206055,-2.2131050615020742e-07
5.195,-0.08509541790116991,0.1643904583196257,0.013512111393268298,0.03549680607204214,0.04900891746531044,-2.211572562582642e-07
5.2,-0.08426307789520433,0.1685390909199493,0.01420271258406147,0.034806204426999464,0.049008917011060936,-2.2161150576432975e-07
5.205,-0.08341009708074557,0.17264653454093778,0.014903412944497612,0.034105503027069155,0.049008915971566765,-2.226509999356252e-07
5.21,-0.08253668374106694,0.17671178399855186,0.015613527301975426,0.033395387165568606,0.04900891446754403,-2.2415502266837084e-07
5.215,-0.08164305125811808,0.18073384418740612,0.016332361217378796,0.03267655149807408,0.04900891271545288,-2.2590711382108886e-07
5.22,-0.08072941811252486,0.18471173008076897,0.017059211614715426,0.03194969940253903,0.04900891101725445,-2.2760531225018976e-07
5.2250000000000005,-0.07979600788358929,0.1886444667305633,0.017793367414029298,0.031215542328594123,0.049008909742623424,-2.2887994327591699e-07
5.23,-0.07884304923208084,0.1925310893284056,0.01853411017899125,0.030474799123127113,0.04900890930211836,-2.2932044833889886e-07
5.235,-0.07787077389834654,0.19637064945550944,0.019280715983789286,0.029728193832192207,0.049008909815981494,-2.2880658520629815e-07
5.24,-0.07687941940688178,0.20016220367414822,0.0200324538898456,0.028976457155823667,0.04900891104566926,-2.275768974380199e-07
5.245,-0.0758692291424144,0.20390481572279381,0.020788586937473253,0.028220325784391508,0.049008912721864764,-2.2590070193617695e-07
5.25,-0.07484045073958134,0.20759756283126324,0.021548374046740145,0.027460540482544062,0.04900891452928421,-2.2409328249289873e-07
5.255,-0.07379333608292876,0.2112395357207187,0.022311070725752398,0.026697845426242213,0.04900891615199461,-2.224705720893505e-07
5.26,-0.07272814130691194,0.2148298386036676,0.02307592977723894,0.025932987534007093,0.04900891731124603,-2.2131132067226833e-07
5.265,-0.07164512679589534,0.2183675891839624,0.023842202003007885,0.025166715792746097,0.04900891779575398,-2.2082681271767823e-07
5.2700000000000005,-0.07054455718415237,0.22185191865680137,0.024609136905852005,0.024399780578525338,0.04900891748437734,-2.2113818935742824e-07
5.275,-0.0694267013558662,0.2252819717087262,0.025375983388485655,0.023632932972677368,0.04900891636116302,-2.2226140367759273e-07
5.28,-0.06829183244512857,0.2286569065176254,0.02614199044910504,0.02286692407359811,0.04900891452270315,-2.24099863548044e-07
5.285,-0.06714022783594056,0.2319758947527322,0.026906407873165342,0.022102504304662172,0.04900891217782752,-2.264447391819857e-07
5.29,-0.06597216916221245,0.23523812157462493,0.027668486920979007,0.021340422718626757,0.04900890963960576,-2.289829609397609e-07
5.295,-0.06478794230776364,0.23844278563522703,0.028427481010743414,0.020581426298932705,0.04900890730967612,-2.3131289057787274e-07
5.3,-0.06358783740632269,0.24158909907780718,0.029182646396613266,0.01982625925833493,0.0490089056549482,-2.329676185020002e-07
5.305,-0.06237214876516735,0.24467628769712563,0.029933242880623295,0.019075662288566775,0.04900890516919007,-2.3345337663016608e-07
5.3100000000000005,-0.06114117183162472,0.24770359636886846,0.03067853582703565,0.018330370041117577,0.04900890586815323,-2.3275441347198056e-07
5.315,-0.05989520799786904,0.25067027742454323,0.031417793992048734,0.017591113431651678,0.04900890742370041,-2.311988662878628e-07
5.32,-0.058634563746846724,0.2535755949459754,0.0321502911761027,0.016858618341164592,0.04900890951726729,-2.291052994124465e-07
5.325,-0.05735954866639331,0.256418829429418,0.03287530804297648,0.016133603740309393,0.049008911783285876,-2.2683928082439797e-07
5.33,-0.05607047544923327,0.25919927778555224,0.03359213280227594,0.015416781054018577,0.049008913856294516,-2.2476627218465106e-07
5.335,-0.05476765989297997,0.2619162533394873,0.03430006188169725,0.014708853528829148,0.0490089154105264,-2.2321204030256725e-07
5.34,-0.05345142090013569,0.26456908583076055,0.034998400588662174,0.014010515603235484,0.04900891619189766,-2.224306690432054e-07
5.345,-0.05212208047809161,0.26715712141333753,0.03568646376093038,0.01332245228142286,0.049008916042353246,-2.2258021345478163e-07
5.3500000000000005,-0.0507799637391276,0.26967972265561224,0.03636357640580397,0.012645338510750836,0.049008914916554805,-2.2370601189536377e-07
5.355,-0.04942539890041314,0.2721362685404055,0.03702907432754785,0.01197983856331,0.049008912890857854,-2.2573170884582217e-07
5.36,-0.04805871728400592,0.2745261544649676,0.03768230474266162,0.011326605421944117,0.049008910164605735,-2.2845796096571114e-07
5.365,-0.04668025331685276,0.2768487922409764,0.038322626882643665,0.010686280171081888,0.049008907053725556,-2.3156884114416965e-07
5.37,-0.04529034453078941,0.27910361009453805,0.03894941258390196,0.010059491392758406,0.04900890397666036,-2.3464590633709426e-07
5.375,-0.04388933156254052,0.2812900526661866,0.03956204686447302,0.009446854568184629,0.049008901432657646,-2.3718990905391424e-07
5.38,-0.042477558153719654,0.28340758101088437,0.04015992848722049,0.008848971485255873,0.049008899972476365,-2.386500903353572e-07
5.385,-0.04105537012806108,0.285455673476621,0.04074247075999563,0.00826642924056241,0.04900890000055804,-2.386220086594837e-07
5.39,-0.0396231133884392,0.2874338258077089,0.04130910210922816,0.00769979895333313,0.04900890106256129,-2.3756000541025335e-07
5.3950000000000005,-0.0381811405429273,0.2893415454087215,0.041859264949753616,0.007149637889089642,0.04900890283884326,-2.3578372344151832e-07
5.4,-0.036729806493028386,0.29117835750459,0.0423924179395354,0.006616487053017994,0.0490089049925534,-2.3363001330073407e-07
5.405,-0.035269467886107464,0.2929438057320068,0.042908036658375864,0.006100870501789586,0.04900890716016545,-2.314624012525468e-07
5.41,-0.03380048311539263,0.29463745213942394,0.04340561410160566,0.005603294893503742,0.04900890899510941,-2.2962745729188105e-07
5.415,-0.032323212319974794,0.29625887718705346,0.04388466115606681,0.005124249047871371,0.04900891020393818,-2.2841862851868955e-07
5.42,-0.030838017384807667,0.2978076797468674,0.044344707058106364,0.004664203516866239,0.0490089105749726,-2.2804759410022246e-07
5.425,-0.029345261940707783,0.2992834771025979,0.04478529983331062,0.004223610166095447,0.04900890999940607,-2.286231606321576e-07
5.43,-0.027845311364354475,0.30068590494973707,0.04520600671772116,0.0038029017670982313,0.04900890848481939,-2.301377473104549e-07
5.4350000000000005,-0.026338532778289625,0.3020146173955373,0.04560641456028639,0.0034024916008355546,0.04900890616112195,-2.3246144475325137e-07
5.44,-0.02482529505091873,0.30326928695901034,0.04598613020631328,0.0030227730725807048,0.049008903278893984,-2.353436727164926e-07
5.445,-0.023305968796509303,0.3044496045709286,0.0463447808616974,0.002664119338459211,0.049008900200156615,-2.3842241008570353e-07
5.45,-0.021780926375191925,0.30555527957382433,0.04668201443771897,0.002326882943882048,0.049008897381601024,-2.4124096567601505e-07
5.455,-0.02025054189295998,0.30658603972198983,0.046997499876206765,0.002011395474088862,0.04900889535029563,-2.43272271070738e-07
5.46,-0.018715191182394588,0.30754163117008,0.04729092745137676,0.0017179672135272973,0.04900889466490406,-2.439576626406259e-07
