t,theta1,theta1_dot,theta2,E,E_minus_E0,abs_delta_theta2
15.97,-0.9812207947001156,-0.6500602304043007,-0.8841326574194492,8.5438460187352,-3.093876813857321,0.0004763326176507876
15.975,-0.9843306781932291,-0.5938664874142912,-0.8830296962882906,8.543788713265265,-3.0939341193272565,0.0004554112307327829
15.98,-0.9871592186066508,-0.5375243778347462,-0.8820639819619257,8.5437420155925,-3.0939808170000216,0.0004344752330278645
15.985000000000001,-0.9897057261732464,-0.4810568210224657,-0.8812363679742378,8.543704862211905,-3.094017970380616,0.00041352083464119005
15.99,-0.9919696198596043,-0.4244850361009408,-0.8805475305859461,8.543676170946615,-3.0940466616459066,0.0003925691015453925
15.995000000000001,-0.9939504273660382,-0.3678285419602941,-0.8799979687846057,8.543654849630318,-3.094067982962203,0.00037164256926203176
16.0,-0.9956477827351923,-0.31110521690057813,-0.8795880098346268,8.543639817494073,-3.094083015098448,0.0003508015793205477
16.005,-0.9970613931547073,-0.25433199274898816,-0.8793178862600027,8.543629962675226,-3.0940928699172954,0.0003300672965288465
16.01,-0.9981910469022605,-0.19752470231783997,-0.8791877178951695,8.543624157712678,-3.0940986748798434,0.0003094396581142522
16.015,-0.9990366107001319,-0.14069854743012103,-0.8791975186972771,8.543621284324372,-3.0941015482681493,0.00028891582361156853
16.02,-0.9995980257581853,-0.0838682339615244,-0.8793472059771431,8.543620220357747,-3.0941026122347743,0.00026851601085275956
16.025,-0.9998753077738632,-0.027047971840609752,-0.8796366003992521,8.543619846369047,-3.094102986223474,0.0002482595649234698
16.03,-0.9998685447242762,0.029748283742385973,-0.8800654310867472,8.543619053833934,-3.094103778758587,0.00022816843521555885
16.035,-0.9995778892563336,0.08650646754751765,-0.8806333533180276,8.54361671985812,-3.0941061127344014,0.0002082494884342312
16.04,-0.9990035664317015,0.14321229492018,-0.8813399308015994,8.543611734443989,-3.0941110981485327,0.00018851223374838355
16.045,-0.998145876517457,0.1998508979993212,-0.8821846292489155,8.543602993842113,-3.0941198387504087,0.00016897121743475463
16.05,-0.9970051949821603,0.256406822412998,-0.8831668163834264,8.543589400225935,-3.0941334323665863,0.00014965581880732604
16.055,-0.9955819756848345,0.3128639108590503,-0.8842857544547216,8.543569875566286,-3.0941529570262354,0.0001305958455535272
16.06,-0.993876755113337,0.3692049019011342,-0.8855405901775547,8.543543343667304,-3.094179488925217,0.00011180637895347179
16.065,-0.9918901509081165,0.42541150030694064,-0.8869303582901448,8.543508740507376,-3.0942140920851458,9.328402432506877e-05
16.07,-0.989622887120138,0.481463797163105,-0.8884539224806102,8.543465030111973,-3.0942578024805485,7.506598458562053e-05
16.075,-0.9870757958760029,0.5373402240784095,-0.8901099714868136,8.543411193072469,-3.0943116395200523,5.71982486115008e-05
16.080000000000002,-0.9842498173779529,0.5930175531836639,-0.8918970190963587,8.543346228077095,-3.0943766045154266,3.9742044700252777e-05
16.085,-0.9811460015674487,0.6484708808027319,-0.8938134001979747,8.543269168421753,-3.094453664170768,2.2744222238801903e-05
16.09,-0.9777655406583957,0.7036731472672337,-0.8958571938372105,8.54317910188312,-3.094543730709402,6.247945636639329e-06
16.095,-0.9741097473805599,0.7585951018089689,-0.8980262756616056,8.543075071350385,-3.094647761242136,9.759864611602609e-06
16.1,-0.9701800966966713,0.8132052095804301,-0.9003182188304814,8.542956192988221,-3.0947666396043,2.5249441714447762e-05
16.105,-0.9659782423449196,0.8674695434502355,-0.9027302546981053,8.542821671831122,-3.094901160761399,4.0109175893032756e-05
16.11,-0.9615060168389366,0.9213517840033623,-0.9052592728137011,8.542670779580583,-3.0950520530119388,5.4239761932639574e-05
16.115000000000002,-0.956765431467804,0.9748132195410288,-0.9079018209214437,8.542502827101869,-3.0952200054906527,6.754032114852926e-05
16.12,-0.9517586763367153,1.02781274707039,-0.9106541048569836,8.542317127918706,-3.0954057046738157,7.995119312109722e-05
16.125,-0.9464881596504997,1.0803073245330073,-0.9135118917869685,8.54211325974672,-3.0956095728458006,9.143312880766086e-05
16.13,-0.9409565227871239,1.1322506981487077,-0.9164704827729764,8.541890561740383,-3.0958322708521386,0.00010193985448381238
16.135,-0.935166638190383,1.1835943365220127,-0.9195247125386141,8.541648345143495,-3.0960744874490267,0.00011141783883761303
16.14,-0.9291216345937864,1.234288418027311,-0.9226688829710368,8.54138628778735,-3.0963365448051707,0.00011973979449775296
16.145,-0.9228248970205334,1.2842818308090769,-0.9258967631209609,8.541104348368432,-3.0966184842240896,0.0001267100066921767
16.15,-0.9162800667835292,1.3335221727817246,-0.9292015892026562,8.540802634413058,-3.096920198179463,0.00013218529495462317
16.155,-0.9094910414853767,1.3819557516296783,-0.9325760645939494,8.540481221505354,-3.097241611087167,0.00013611730701634794
16.16,-0.9024619750130818,1.4295275851286766,-0.9360123598461321,8.540139922859078,-3.0975829097334433,0.00013848977714236987
16.165,-0.8951972565842347,1.4761840761742944,-0.9395021415679264,8.539779269244395,-3.0979435633481263,0.00013934731122267063
16.17,-0.8877016347679271,1.521870403443295,-0.9430363039999322,8.539399482068843,-3.0983233505236782,0.00013852696122573782
16.175,-0.8799801599827185,1.566531198189729,-0.9466050943320775,8.539000211322957,-3.098722621269564,0.00013578354265741943
16.18,-0.8720381070389344,1.610114071859869,-0.9501982653661479,8.538581791085727,-3.099141041506794,0.00013094229707466543
16.185,-0.8638809751386871,1.65256961609208,-0.953805075515777,8.53814508376853,-3.0995777488239913,0.0001238988920863049
16.19,-0.8555144878758651,1.69385140271688,-0.9574142888064507,8.53769128759666,-3.1000315449958613,0.00011456840104617783
16.195,-0.8469445932361562,1.733915983756825,-0.9610141748754975,8.537221719695626,-3.100501112896895,0.0001029221413740844
16.2,-0.8381774635970124,1.772722891426684,-0.9645925089721035,8.536737588770945,-3.100985243821576,8.90963862536509e-05
16.205000000000002,-0.829219495727667,1.810234638133347,-0.9681365719573051,8.536239772641073,-3.1014830599514482,7.306721240707414e-05
16.21,-0.8200772861913452,1.8464171162030174,-0.9716332011710451,8.535728712031245,-3.101994120561276,5.468534195207653e-05
