t,i,omega,v,E,E_minus_E0
1.752,1.6781543061661623,46.30586021266136,6.0,2.8482831588605424,2.8482831588605424
1.7525,1.6780197256785465,46.30787808241492,6.0,2.8483571224373807,2.8483571224373807
1.7530000000000001,1.6778852931935468,46.30989292616716,6.0,2.848430947111866,2.848430947111866
1.7535,1.6777510085946767,46.31190474764874,6.0,2.848504633065404,2.848504633065404
1.754,1.6776168717654922,46.31391355058688,6.0,2.8485781804792945,2.8485781804792945
1.7545,1.6774828825895918,46.315919338705385,6.0,2.8486515895347346,2.8486515895347346
1.7550000000000001,1.6773490409506162,46.317922115724585,6.0,2.8487248604128164,2.8487248604128164
1.7555,1.677215346732249,46.319921885361396,6.0,2.848797993294526,2.848797993294526
1.756,1.6770817998182164,46.321918651329284,6.0,2.848870988360745,2.848870988360745
1.7565,1.6769484000922867,46.32391241733828,6.0,2.848943845792247,2.848943845792247
1.7570000000000001,1.6768151474382715,46.325903187094966,6.0,2.8490165657697037,2.8490165657697037
1.7575,1.6766820417400239,46.3278909643025,6.0,2.8490891484736744,2.8490891484736744
1.758,1.6765490828814404,46.329875752660584,6.0,2.849161594084617,2.849161594084617
1.7585,1.6764162707464596,46.33185755586549,6.0,2.8492339027828772,2.8492339027828772
1.7590000000000001,1.6762836052190626,46.33383637761006,6.0,2.849306074748696,2.849306074748696
1.7595,1.6761510861832736,46.33581222158367,6.0,2.849378110162205,2.849378110162205
1.76,1.6760187135231581,46.33778509147229,6.0,2.849450009203427,2.849450009203427
1.7605,1.6758864871228258,46.33975499095842,6.0,2.849521772052277,2.849521772052277
1.7610000000000001,1.6757544068664274,46.34172192372113,6.0,2.849593398888559,2.849593398888559
1.7615,1.675622472638157,46.34368589343606,6.0,2.849664889891967,2.849664889891967
1.762,1.6754906843222508,46.3456469037754,6.0,2.8497362452420876,2.8497362452420876
1.7625,1.6753590418029882,46.34760495840791,6.0,2.849807465118395,2.849807465118395
1.7630000000000001,1.6752275449646903,46.34956006099891,6.0,2.8498785497002515,2.8498785497002515
1.7635,1.675096193691721,46.351512215210256,6.0,2.8499494991669083,2.8499494991669083
1.764,1.6749649878684871,46.353461424700406,6.0,2.8500203136975086,2.8500203136975086
1.7645,1.6748339273794377,46.35540769312434,6.0,2.8500909934710794,2.8500909934710794
1.7650000000000001,1.674703012109064,46.35735102413362,6.0,2.8501615386665353,2.8501615386665353
1.7655,1.6745722419419005,46.35929142137637,6.0,2.8502319494626813,2.8502319494626813
1.766,1.6744416167625236,46.36122888849726,6.0,2.850302226038206,2.850302226038206
1.7665,1.6743111364555523,46.36316342913753,6.0,2.850372368571686,2.850372368571686
1.7670000000000001,1.6741808009056487,46.36509504693498,6.0,2.850442377241585,2.850442377241585
1.7675,1.674050609997517,46.36702374552397,6.0,2.850512252226249,2.850512252226249
1.768,1.6739205636159036,46.368949528535424,6.0,2.8505819937039116,2.8505819937039116
1.7685,1.673790661645598,46.37087239959681,6.0,2.8506516018526917,2.8506516018526917
1.7690000000000001,1.673660903971432,46.372792362332184,6.0,2.850721076850592,2.850721076850592
1.7695,1.6735312904782802,46.37470942036214,6.0,2.8507904188754996,2.8507904188754996
1.77,1.673401821051059,46.37662357730384,6.0,2.8508596281051846,2.8508596281051846
1.7705,1.673272495574728,46.378534836771,6.0,2.850928704717301,2.850928704717301
1.7710000000000001,1.6731433139342893,46.38044320237392,6.0,2.850997648889387,2.850997648889387
1.7715,1.6730142760147872,46.38234867771943,6.0,2.8510664607988616,2.8510664607988616
1.772,1.6728853817013087,46.38425126641093,6.0,2.851135140623027,2.851135140623027
1.7725,1.6727566308789834,46.3861509720484,6.0,2.851203688539069,2.851203688539069
1.7730000000000001,1.6726280234329833,46.38804779822835,6.0,2.85127210472405,2.85127210472405
