t,theta1,theta1_dot,theta2,theta2_dot
11.4875,0.0860961084557124,1.1581686884649678,0.2232699248956632,3.2005920583775307
11.49,0.0889977904937991,1.163203002285602,0.2312509325372898,3.184121957730205
11.4925,0.0919122370423548,1.1683811121042298,0.2391901121909875,3.1671270847906587
11.495,0.0948397994158375,1.1736952241485934,0.2470861650668974,3.14962116332283
11.4975,0.0977808092022572,1.1791375555551438,0.2549378275867806,3.1316179248005773
11.5,0.1007355782616053,1.1847003344981024,0.2627438713873825,3.1131311081941315
11.5025,0.1037043987258464,1.190375800189446,0.2705031033204113,3.094174459970148
11.505,0.1066875429989228,1.196156202878915,0.2782143654525484,3.074761734091679
11.5075,0.109685263756746,1.202033803853997,0.2858765350654264,3.0549066920182293
11.51,0.112697793947209,1.208000875439951,0.2934885246556626,3.034623102705674
11.5125,0.1157253467901803,1.2140497009997953,0.3010492819348417,3.013924742606298
11.515,0.1187681157774974,1.2201725749342949,0.3085577898295005,2.992825395668841
11.5175,0.1218262746729798,1.2263618026819871,0.3160130664811595,2.971338853338412
11.52,0.1248999785584765,1.2326097511907987,0.3234141640867218,2.949478834852692
11.5225,0.1279893680698681,1.2389090943052727,0.3307601629141201,2.927258593599296
11.525,0.1310945604841526,1.2452523990902418,0.3380501802143658,2.904691568001095
11.5275,0.1342156551481037,1.251632322928932,0.3452833658421425,2.881791080013018
11.53,0.1373527345768318,1.2580416617214896,0.3524589011709302,2.858570259729237
11.5325,0.1405058644537886,1.2644733498849907,0.3595759990930155,2.835042045383136
11.535,0.1436750936307583,1.270920460353422,0.3666339040194709,2.8112191833473754
11.5375,0.1468604541278706,1.2773762045777084,0.3736318918801859,2.7871142281337944
11.54,0.1500619611335943,1.2838339325256998,0.3805692701238512,2.7627395423934584
11.5425,0.1532796130047306,1.290287132682157,0.3874453777179443,2.738107296916713
11.545,0.1565133912664264,1.296729432048779,0.3942595851487587,2.7132294706330797
11.5475,0.1597632606121654,1.303154596144185,0.4010112944213847,2.688117850611323
11.55,0.1630291689037726,1.3095565290039235,0.4076999390597187,2.66278403205942
11.5525,0.1663110471714053,1.3159292731804544,0.4143249841064442,2.637239418324627
11.555,0.1696088096135665,1.3222670097431748,0.4208859261230608,2.611495220893376
11.5575,0.1729223596364419,1.3285640718079126,0.4273822845712783,2.5855624433896627
11.56,0.1762515979417724,1.334814994632341,0.4338135880197784,2.559451815660661
11.5625,0.1795963989581564,1.3410144604844525,0.440179407893522,2.5331738614450656
11.565,0.1829566250604759,1.347157296369172,0.4464793405533789,2.5067389094149357
11.5675,0.1863321275672275,1.353238475274836,0.452713005941838,2.4801570919306384
11.57,0.1897227467405129,1.3592531161731705,0.4588800475829905,2.4534383450409285
11.5725,0.1931283117860531,1.3651964840193185,0.4649801325825561,2.426592408482832
11.575,0.1965486408531818,1.3710639897518269,0.4710129516278697,2.3996288256817038
11.5775,0.1999835410348373,1.376851190292634,0.4769782189878682,2.3725569437512823
11.58,0.2034328083675776,1.3825537885470949,0.4828756725131171,2.345385913493581
11.5825,0.2068962278315706,1.3881676334039632,0.4887050736357923,2.3181246893989584
11.585,0.2103735733505989,1.3936887197354026,0.4944662073696896,2.290782029646084
11.5875,0.2138646077920501,1.399113188396967,0.5001588823102074,2.263366496102013
11.59,0.2173690829669312,1.4044373262276268,0.5057829306343717,2.235886454322072
11.5925,0.2208867396298592,1.4096575660497526,0.5113382081008198,2.208350073549933
11.595,0.2244173074790659,1.414770486669122,0.5168245940498077,2.180765326717583
11.5975,0.2279605118138706,1.4197727574494416,0.5222419815433039,2.1531400710302937
11.6,0.2315160819386186,1.4246610836191451,0.5275902636201252,2.1254821435651454
11.6025,0.2350837267665105,1.4294324047618896,0.5328693698977669,2.097799071555987
11.605,0.2386631482445611,1.434083765800836,0.5380792482033084,2.0700982440605338
11.6075,0.2422540422005862,1.438612309528975,0.5432198633553985,2.042386922417035
11.61,0.2458560983431925,1.443015276609109,0.5482911971642394,2.014672240244353
11.6125,0.2494690002617822,1.4472900055738662,0.5532932484315948,1.9869612034419228
11.615,0.2530924254265436,1.4514339328256798,0.5582260329507752,1.9592606901898333
11.6175,0.2567260451884656,1.4554445926368125,0.5630895835066597,1.9315774509487056
11.62,0.2603695247793307,1.4593196171493434,0.5678839498756846,1.9039181084597545
11.6225,0.2640225233117067,1.4630567363751634,0.5726091988258337,1.8762891577448475
11.625,0.2676846937789627,1.4666537781959883,0.5772654141166589,1.848696966106385
11.6275,0.2713556830552585,1.4701086683633502,0.5818526964992662,1.8211477731273813
11.63,0.2750351318955496,1.4734194304986012,0.5863711637163223,1.7936476906714245
11.6325,0.2787226749355772,1.476584186092905,0.590820950502042,1.7662027028827527
11.635,0.282417940777733,1.4796011533474367,0.5952022084539098,1.738818667471573
11.6375,0.2861205611123139,1.4824685246341385,0.5995150922142047,1.7115014604394243
11.64,0.289830162378117,1.485184578608115,0.6037597716591315,1.68425687160891
11.6425,0.2935463625524932,1.487747718637762,0.6079364373967927,1.6570905389079449
11.645,0.2972687764317292,1.4901564006551902,0.6120452930216679,1.630008022594134
11.6475,0.3009970156310526,1.4924091331562297,0.6160865551146198,1.6030148052547344
11.65,0.3047306885846217,1.494504477200424,0.6200604532428827,1.576116291806731
11.6525,0.3084694005455411,1.4964410464110394,0.6239672299600798,1.5493178094967224
11.655,0.3122127535858512,1.4982175069750578,0.6278071408062114,1.5226246079009966
11.6575,0.3159603465965336,1.4998325776431811,0.6315804543076607,1.4960418589254938
11.66,0.3197117752875002,1.5012850297298248,0.6352874519771834,1.4695746568058814
11.6625,0.3234666321876095,1.5025736871131266,0.6389284283139229,1.4432280181074406
11.665,0.3272245066446584,1.5036974262349407,0.6425036908034033,1.4170068817251242
