t,theta1_A,theta1_dot_A,theta2_A,theta2_dot_A,theta1_B,theta1_dot_B,theta2_B,theta2_dot_B,diff_norm,E,E_minus_E0
0.2275,0.5111893292574049,-1.4719818560777442,0.7330185620709306,-0.03917538827340875,0.5117437773577488,-1.47528969616693,0.7336598470926006,-0.034836553142910925,0.005521408834732259,4.6137962004413975,-8.503693837980109e-08
0.23,0.5074991396649258,-1.4801297204719641,0.7329025768447268,-0.05368339391232066,0.5080453089191389,-1.4834453750318783,0.7335546883195668,-0.049359975752424345,0.0055144410392955505,4.61379618616894,-9.930939626201507e-08
0.2325,0.5037888594046435,-1.4880519107155363,0.7327498485312328,-0.06857577563145578,0.5043267307811375,-1.491374579220372,0.7334127469234754,-0.06426965462539097,0.005505592066979672,4.613796162724163,-1.2275417304863367e-07
0.23500000000000001,0.5000590551426015,-1.4957485378588937,0.7325594112204091,-0.08385088839011454,0.5005886117304998,-1.4990774317824966,0.7332330519113974,-0.0795639227705083,0.005494891349119468,4.613796145674832,-1.3980350388465013e-07
0.23750000000000002,0.4963102923175319,-1.5032197653633015,0.7323303058481228,-0.0995069263637715,0.4968315193084288,-1.506554108417531,0.7330146391775644,-0.09524095157377077,0.005482369395985075,4.6137961425333405,-1.4294499539602157e-07
0.24,0.49254313514085546,-1.5104658091008571,0.732061580196147,-0.1155419229440754,0.49305601977626023,-1.5138048369808679,0.7327565515948079,-0.11129875162445624,0.005468056869246936,4.613796154442754,-1.3103558149651917e-07
0.2425,0.4887581465966817,-1.517486937354491,0.7317522888921622,-0.1319537507388498,0.48926267811546303,-1.5208298974840155,0.7324578390145604,-0.12773517271512685,0.005451984592649603,4.61379617787936,-1.0759897595136181e-07
0.245,0.484955888441809,-1.5242834708179647,0.7314014934097547,-0.14874012157209188,0.48545205802763897,-1.5276296220945969,0.7321175582668545,-0.1445479038416277,0.005434183563627714,4.613796206356145,-7.91221905771522e-08
0.2475,0.48113692120572427,-1.5308557825958733,0.7310082620684177,-0.1658985864839735,0.48162472193452277,-1.5342043951363489,0.7317347731603238,-0.16173447320308787,0.005414684965901261,4.613796232111274,-5.3367061880749134e-08
0.25,0.47730180419060325,-1.5372042982036433,0.7305716700335511,-0.18342653573084045,0.47778123097798203,-1.5405546530891236,0.7313085544822019,-0.17929224820192002,0.005393520183105688,4.613796247765195,-3.771314105449619e-08
0.2525,0.47345109547131053,-1.5433294955675343,0.7300907993164607,-0.2013211987852131,0.4739221450200174,-1.546680884588888,0.7308379799983232,-0.19721843544382042,0.005370720813504554,4.6137962479299315,-3.754840438574547e-08
0.255,0.4695853518953993,-1.5492319050246375,0.7295647387743596,-0.21957964433578592,0.47004802264276246,-1.552583630427723,0.7303221344531229,-0.215510080737769,0.005346318685849902,4.613796230753726,-5.4724609732659246e-08
0.2575,0.46570512908311146,-1.554912109322877,0.7289925841103668,-0.23819878028742764,0.46615942114848363,-1.5582634835538252,0.729760109569636,-0.23416406909602938,0.005320345876458018,4.613796199384259,-8.60940767566376e-08
0.26,0.46181098142737775,-1.5603707436210092,0.7283734378735082,-0.2571753537611815,0.46225689655958035,-1.563721089071505,0.7291510040494986,-0.2531771247341488,0.005292834727576159,4.613796163333539,-1.2214479649941268e-07
0.2625,0.4579034620938177,-1.5656084954886227,0.7277064094587162,-0.27650595109426457,0.458341003618585,-1.5689571442411878,0.7284939235729473,-0.2725458110709581,0.0052638178671244465,4.613796139727566,-1.4575076967560108e-07
